team_h,team_a,gol_h,gol_a,giornata
Juventus,Cagliari,3,0,1
Atalanta,Roma,0,1,1
Crotone,Milan,0,3,1
Lazio,SPAL,0,0,1
Sassuolo,Genoa,0,0,1
Verona,Napoli,1,3,1
Bologna,Torino,1,1,1
Inter,Fiorentina,3,0,1
Sampdoria,Benevento,2,1,1
Udinese,Chievo Verona,1,2,1
Benevento,Bologna,0,1,2
Roma,Inter,1,3,2
Chievo Verona,Lazio,1,2,2
Fiorentina,Sampdoria,1,2,2
Napoli,Atalanta,3,1,2
Genoa,Juventus,2,4,2
Torino,Sassuolo,3,0,2
Crotone,Verona,0,0,2
Milan,Cagliari,2,1,2
SPAL,Udinese,3,2,2
Juventus,Chievo Verona,3,0,3
Atalanta,Sassuolo,2,1,3
Verona,Fiorentina,0,5,3
Lazio,Milan,4,1,3
Bologna,Napoli,0,3,3
Inter,SPAL,2,0,3
Cagliari,Crotone,1,0,3
Udinese,Genoa,1,0,3
Benevento,Torino,0,1,3
Sampdoria,Roma,1,1,3
Crotone,Inter,0,2,4
Roma,Verona,3,0,4
Milan,Udinese,2,1,4
SPAL,Cagliari,0,2,4
Chievo Verona,Atalanta,1,1,4
Fiorentina,Bologna,2,1,4
Sassuolo,Juventus,1,3,4
Napoli,Benevento,6,0,4
Torino,Sampdoria,2,2,4
Genoa,Lazio,2,3,4
Bologna,Inter,1,1,5
Atalanta,Crotone,5,1,5
Genoa,Chievo Verona,1,1,5
Juventus,Fiorentina,1,0,5
Milan,SPAL,2,0,5
Benevento,Roma,0,4,5
Cagliari,Sassuolo,0,1,5
Verona,Sampdoria,0,0,5
Lazio,Napoli,1,4,5
Udinese,Torino,2,3,5
Roma,Udinese,3,1,6
Juventus,Torino,4,0,6
Cagliari,Chievo Verona,0,2,6
Verona,Lazio,0,3,6
Sassuolo,Bologna,0,1,6
SPAL,Napoli,2,3,6
Sampdoria,Milan,2,0,6
Crotone,Benevento,2,0,6
Inter,Genoa,1,0,6
Fiorentina,Atalanta,1,1,6
Udinese,Sampdoria,4,0,7
Napoli,Cagliari,3,0,7
Chievo Verona,Fiorentina,2,1,7
SPAL,Crotone,1,1,7
Milan,Roma,0,2,7
Genoa,Bologna,0,1,7
Benevento,Inter,1,2,7
Lazio,Sassuolo,6,1,7
Torino,Verona,2,2,7
Atalanta,Juventus,2,2,7
Juventus,Lazio,1,2,8
Fiorentina,Udinese,2,1,8
Cagliari,Genoa,2,3,8
Sampdoria,Atalanta,3,1,8
Inter,Milan,3,2,8
Roma,Napoli,0,1,8
Bologna,SPAL,2,1,8
Crotone,Torino,2,2,8
Sassuolo,Chievo Verona,0,0,8
Verona,Benevento,1,0,8
Sampdoria,Crotone,5,0,9
Chievo Verona,Verona,3,2,9
Benevento,Fiorentina,0,3,9
SPAL,Sassuolo,0,1,9
Udinese,Juventus,2,6,9
Napoli,Inter,0,0,9
Atalanta,Bologna,1,0,9
Milan,Genoa,0,0,9
