team_h,team_a,gol_h,gol_a,giornata
Chievo Verona,Juventus,0,1,1
Atalanta,Verona,0,0,1
Cesena,Parma,1,0,1
Palermo,Sampdoria,1,1,1
Torino,Inter,0,0,1
Roma,Fiorentina,2,0,1
Milan,Lazio,3,1,1
Genoa,Napoli,1,2,1
Sassuolo,Cagliari,1,1,1
Udinese,Empoli ,2,0,1
Empoli ,Roma,0,1,2
Sampdoria,Torino,2,0,2
Fiorentina,Genoa,0,0,2
Lazio,Cesena,3,0,2
Parma,Milan,4,5,2
Juventus,Udinese,2,0,2
Cagliari,Atalanta,1,2,2
Inter,Sassuolo,7,0,2
Napoli,Chievo Verona,0,1,2
Verona,Palermo,2,1,2
Cesena,Empoli ,2,2,3
Chievo Verona,Parma,2,3,3
Roma,Cagliari,2,0,3
Atalanta,Fiorentina,0,1,3
Palermo,Inter,1,1,3
Milan,Juventus,0,1,3
Genoa,Lazio,1,0,3
Sassuolo,Sampdoria,0,0,3
Udinese,Napoli,1,0,3
Torino,Verona,0,1,3
Empoli ,Milan,2,2,4
Fiorentina,Sassuolo,0,0,4
Inter,Atalanta,2,0,4
Napoli,Palermo,3,3,4
Sampdoria,Chievo Verona,2,1,4
Cagliari,Torino,1,2,4
Verona,Genoa,2,2,4
Juventus,Cesena,3,0,4
Parma,Roma,1,2,4
Lazio,Udinese,0,1,4
Roma,Verona,2,0,5
Sassuolo,Napoli,0,1,5
Chievo Verona,Empoli ,1,1,5
Torino,Fiorentina,1,1,5
Udinese,Parma,4,2,5
Atalanta,Juventus,0,3,5
Cesena,Milan,1,1,5
Inter,Cagliari,1,4,5
Genoa,Sampdoria,0,1,5
Palermo,Lazio,0,4,5
Verona,Cagliari,1,0,6
Empoli ,Palermo,3,0,6
Parma,Genoa,1,2,6
Udinese,Cesena,1,1,6
Fiorentina,Inter,3,0,6
Milan,Chievo Verona,2,0,6
Lazio,Sassuolo,3,2,6
Sampdoria,Atalanta,1,0,6
Juventus,Roma,3,2,6
Napoli,Torino,2,1,6
Roma,Chievo Verona,3,0,7
Fiorentina,Lazio,0,2,7
Cagliari,Sampdoria,2,2,7
Palermo,Cesena,2,1,7
Inter,Napoli,2,2,7
Sassuolo,Juventus,1,1,7
Atalanta,Parma,1,0,7
Verona,Milan,1,3,7
Torino,Udinese,1,0,7
Genoa,Empoli ,1,1,7
Empoli ,Cagliari,0,4,8
Sampdoria,Roma,0,0,8
Juventus,Palermo,2,0,8
Cesena,Inter,0,1,8
Napoli,Verona,6,2,8
Parma,Sassuolo,1,3,8
Chievo Verona,Genoa,1,2,8
Udinese,Atalanta,2,0,8
Lazio,Torino,2,1,8
Milan,Fiorentina,1,1,8
Sassuolo,Empoli ,3,1,9
Cagliari,Milan,1,1,9
Genoa,Juventus,1,0,9
Palermo,Chievo Verona,1,0,9
Torino,Parma,1,0,9
Atalanta,Napoli,1,1,9
Fiorentina,Udinese,3,0,9
Inter,Sampdoria,1,0,9
Roma,Cesena,2,0,9
Verona,Lazio,1,1,9
Napoli,Roma,2,0,10
Parma,Inter,2,0,10
Sampdoria,Fiorentina,3,1,10
Udinese,Genoa,2,4,10
Cesena,Verona,1,1,10
Empoli ,Juventus,0,2,10
Chievo Verona,Sassuolo,0,0,10
Torino,Atalanta,0,0,10
Milan,Palermo,0,2,10
Lazio,Cagliari,4,2,10
Sassuolo,Atalanta,0,0,11
Cagliari,Genoa,1,1,11
Empoli ,Lazio,2,1,11
Palermo,Udinese,1,1,11
Inter,Verona,2,2,11
Sampdoria,Milan,2,2,11
Chievo Verona,Cesena,2,1,11
Juventus,Parma,7,0,11
Fiorentina,Napoli,0,1,11
Roma,Torino,3,0,11
Atalanta,Roma,1,2,12
Torino,Sassuolo,0,1,12
Verona,Fiorentina,1,2,12
Parma,Empoli ,0,2,12
Milan,Inter,1,1,12
Lazio,Juventus,0,3,12
