team_h,team_a,gol_h,gol_a,giornata
Roma,Udinese,4,0,1
Milan,Torino,3,2,1
Bologna,Crotone,1,0,1
Empoli ,Sampdoria,0,1,1
Palermo,Sassuolo,0,1,1
Juventus,Fiorentina,2,1,1
Atalanta,Lazio,3,4,1
Chievo Verona,Inter,2,0,1
Genoa,Cagliari,3,1,1
Pescara,Napoli,2,2,1
Lazio,Juventus,0,1,2
Inter,Palermo,1,1,2
Crotone,Genoa,1,3,2
Sampdoria,Atalanta,2,1,2
Torino,Bologna,5,1,2
Napoli,Milan,4,2,2
Cagliari,Roma,2,2,2
Fiorentina,Chievo Verona,1,0,2
Sassuolo,Pescara,0,3,2
Udinese,Empoli ,2,0,2
Juventus,Sassuolo,3,1,3
Bologna,Cagliari,2,1,3
Chievo Verona,Lazio,1,1,3
Roma,Sampdoria,3,2,3
Empoli ,Crotone,2,1,3
Palermo,Napoli,0,3,3
Atalanta,Torino,2,1,3
Milan,Udinese,0,1,3
Pescara,Inter,1,2,3
Genoa,Fiorentina,1,0,3
Sampdoria,Milan,0,1,4
Napoli,Bologna,3,1,4
Cagliari,Atalanta,3,0,4
Sassuolo,Genoa,2,0,4
Inter,Juventus,2,1,4
Lazio,Pescara,3,0,4
Udinese,Chievo Verona,1,2,4
Crotone,Palermo,1,1,4
Torino,Empoli ,0,0,4
Fiorentina,Roma,1,0,4
Milan,Lazio,2,0,5
Atalanta,Palermo,0,1,5
Empoli ,Inter,0,2,5
Juventus,Cagliari,4,0,5
Roma,Crotone,4,0,5
Bologna,Sampdoria,2,0,5
Chievo Verona,Sassuolo,2,1,5
Genoa,Napoli,0,0,5
Pescara,Torino,0,0,5
Udinese,Fiorentina,2,2,5
Palermo,Juventus,0,1,6
Torino,Roma,3,1,6
Inter,Bologna,1,1,6
Sassuolo,Udinese,1,0,6
Crotone,Atalanta,1,3,6
Napoli,Chievo Verona,2,0,6
Genoa,Pescara,1,1,6
Lazio,Empoli ,2,0,6
Fiorentina,Milan,0,0,6
Cagliari,Sampdoria,2,1,6
Pescara,Chievo Verona,0,2,7
Empoli ,Juventus,0,3,7
Bologna,Genoa,0,1,7
Sampdoria,Palermo,1,1,7
Torino,Fiorentina,2,1,7
Udinese,Lazio,0,3,7
Atalanta,Napoli,1,0,7
Cagliari,Crotone,2,1,7
Milan,Sassuolo,4,3,7
Roma,Inter,2,1,7
Napoli,Roma,1,3,8
Juventus,Udinese,2,1,8
Genoa,Empoli ,0,0,8
Lazio,Bologna,1,1,8
Chievo Verona,Milan,1,3,8
Pescara,Sampdoria,1,1,8
Fiorentina,Atalanta,0,0,8
Inter,Cagliari,1,2,8
Sassuolo,Crotone,2,1,8
Palermo,Torino,1,4,8
Sampdoria,Genoa,2,1,9
Udinese,Pescara,3,1,9
Cagliari,Fiorentina,3,5,9
Empoli ,Chievo Verona,0,0,9
Bologna,Sassuolo,1,1,9
Milan,Juventus,1,0,9
Atalanta,Inter,2,1,9
Crotone,Napoli,1,2,9
Torino,Lazio,2,2,9
Roma,Palermo,4,1,9
Genoa,Milan,3,0,10
Fiorentina,Crotone,1,1,10
Juventus,Sampdoria,4,1,10
Napoli,Empoli ,2,0,10
Sassuolo,Roma,1,3,10
Chievo Verona,Bologna,1,1,10
Inter,Torino,2,1,10
Lazio,Cagliari,4,1,10
Pescara,Atalanta,0,1,10
Palermo,Udinese,1,3,10
Bologna,Fiorentina,0,1,11
Atalanta,Genoa,3,0,11
Empoli ,Roma,0,0,11
Milan,Pescara,1,0,11
Udinese,Torino,2,2,11
Juventus,Napoli,2,1,11
Crotone,Chievo Verona,2,0,11
Lazio,Sassuolo,2,1,11
Sampdoria,Inter,1,0,11
Cagliari,Palermo,2,1,11
Torino,Cagliari,5,1,12
Pescara,Empoli ,0,4,12
Genoa,Udinese,1,1,12
Sassuolo,Atalanta,0,3,12
Inter,Crotone,3,0,12
Napoli,Lazio,1,1,12
Chievo Verona,Juventus,1,2,12
Palermo,Milan,1,2,12
Fiorentina,Sampdoria,1,1,12
Roma,Bologna,3,0,12
Chievo Verona,Cagliari,1,0,13
Juventus,Pescara,3,0,13
Atalanta,Roma,2,1,13
Crotone,Torino,0,2,13
Lazio,Genoa,3,1,13
Udinese,Napoli,1,2,13
Sampdoria,Sassuolo,3,2,13
Bologna,Palermo,3,1,13
Empoli ,Fiorentina,0,4,13
Milan,Inter,2,2,13
Torino,Chievo Verona,2,1,14
Palermo,Lazio,0,1,14
Cagliari,Udinese,2,1,14
Genoa,Juventus,3,1,14
Napoli,Sassuolo,1,1,14
Empoli ,Milan,1,4,14
Bologna,Atalanta,0,2,14
Crotone,Sampdoria,1,1,14
Roma,Pescara,3,2,14
Inter,Fiorentina,4,2,14
Napoli,Inter,3,0,15
Milan,Crotone,2,1,15
