team_h,team_a,gol_h,gol_a,giornata
Fiorentina,Udinese,2,1,1
Milan,Sampdoria,0,1,1
Chievo Verona,Bologna,2,0,1
Palermo,Napoli,0,3,1
Roma,Catania,2,2,1
Juventus,Parma,2,0,1
Atalanta,Lazio,0,1,1
Genoa,Cagliari,2,0,1
Pescara,Inter,0,3,1
AC Siena,Torino,0,0,1
Torino,Pescara,3,0,2
Udinese,Juventus,1,4,2
Catania,Genoa,3,2,2
Lazio,Palermo,3,0,2
Parma,Chievo Verona,2,0,2
Bologna,Milan,1,3,2
Cagliari,Atalanta,1,1,2
Inter,Roma,1,3,2
Napoli,Fiorentina,2,1,2
Sampdoria,AC Siena,2,1,2
Palermo,Cagliari,1,1,3
Chievo Verona,Lazio,1,3,3
Genoa,Juventus,1,3,3
Pescara,Sampdoria,2,3,3
AC Siena,Udinese,2,2,3
Milan,Atalanta,0,1,3
Fiorentina,Catania,2,0,3
Napoli,Parma,3,1,3
Roma,Bologna,2,3,3
Torino,Inter,0,2,3
Parma,Fiorentina,1,1,4
Cagliari,Roma,0,3,4
Atalanta,Palermo,1,0,4
Catania,Napoli,0,0,4
Udinese,Milan,2,1,4
Juventus,Chievo Verona,2,0,4
Sampdoria,Torino,1,1,4
Bologna,Pescara,1,1,4
Inter,AC Siena,0,2,4
Lazio,Genoa,0,1,4
Fiorentina,Juventus,0,0,5
Catania,Atalanta,2,1,5
Genoa,Parma,1,1,5
Napoli,Lazio,3,0,5
Torino,Udinese,0,0,5
Pescara,Palermo,1,0,5
Chievo Verona,Inter,0,2,5
Milan,Cagliari,2,0,5
Roma,Sampdoria,1,1,5
AC Siena,Bologna,1,0,5
Parma,Milan,1,1,6
Udinese,Genoa,0,0,6
Bologna,Catania,4,0,6
Lazio,AC Siena,2,1,6
Sampdoria,Napoli,0,1,6
Juventus,Roma,4,1,6
Atalanta,Torino,1,5,6
Cagliari,Pescara,1,2,6
Palermo,Chievo Verona,4,1,6
Inter,Fiorentina,2,1,6
Chievo Verona,Sampdoria,2,1,7
Roma,Atalanta,2,0,7
Fiorentina,Bologna,1,0,7
AC Siena,Juventus,1,2,7
Milan,Inter,0,1,7
Genoa,Palermo,1,1,7
Catania,Parma,2,0,7
Pescara,Lazio,0,3,7
Torino,Cagliari,0,1,7
Napoli,Udinese,2,1,7
Juventus,Napoli,2,0,8
Cagliari,Bologna,1,0,8
Chievo Verona,Fiorentina,1,1,8
Palermo,Torino,0,0,8
Udinese,Pescara,1,0,8
Lazio,Milan,3,2,8
Atalanta,AC Siena,2,1,8
Inter,Catania,2,0,8
Parma,Sampdoria,2,1,8
