team_h,team_a,gol_h,gol_a,giornata
Chievo Verona,Juventus,2,3,1
Torino,Roma,0,1,1
Empoli ,Cagliari,2,0,1
Sassuolo,Inter,1,0,1
Sampdoria,Fiorentina,1,1,1
Lazio,Napoli,1,2,1
Bologna,SPAL,0,1,1
Parma,Udinese,2,2,1
Atalanta,Frosinone,4,0,1
Milan,Genoa,2,1,1
Juventus,Lazio,2,0,2
SPAL,Parma,1,0,2
Fiorentina,Chievo Verona,6,1,2
Genoa,Empoli ,2,1,2
Udinese,Sampdoria,1,0,2
Napoli,Milan,3,2,2
Cagliari,Sassuolo,2,2,2
Frosinone,Bologna,0,0,2
Inter,Torino,2,2,2
Roma,Atalanta,3,3,2
Milan,Roma,2,1,3
Parma,Juventus,1,2,3
Atalanta,Cagliari,0,1,3
Lazio,Frosinone,1,0,3
Sassuolo,Genoa,5,3,3
Bologna,Inter,0,3,3
Fiorentina,Udinese,1,0,3
Chievo Verona,Empoli ,0,0,3
Sampdoria,Napoli,3,0,3
Torino,SPAL,1,0,3
Inter,Parma,0,1,4
Frosinone,Sampdoria,0,5,4
Genoa,Bologna,1,0,4
Udinese,Torino,1,1,4
Cagliari,Milan,1,1,4
Napoli,Fiorentina,1,0,4
Roma,Chievo Verona,2,2,4
Juventus,Sassuolo,2,1,4
Empoli ,Lazio,0,1,4
SPAL,Atalanta,2,0,4
Sassuolo,Empoli ,3,1,5
Fiorentina,SPAL,3,0,5
Torino,Napoli,1,3,5
Chievo Verona,Udinese,0,2,5
Milan,Atalanta,2,2,5
Parma,Cagliari,2,0,5
Sampdoria,Inter,0,1,5
Bologna,Roma,2,0,5
Lazio,Genoa,4,1,5
Frosinone,Juventus,0,2,5
Inter,Fiorentina,2,1,6
Atalanta,Torino,0,0,6
Genoa,Chievo Verona,2,0,6
Napoli,Parma,3,0,6
SPAL,Sassuolo,0,2,6
Udinese,Lazio,1,2,6
Cagliari,Sampdoria,0,0,6
Juventus,Bologna,2,0,6
Roma,Frosinone,4,0,6
Empoli ,Milan,1,1,6
Roma,Lazio,3,1,7
Inter,Cagliari,2,0,7
Chievo Verona,Torino,0,1,7
Frosinone,Genoa,1,2,7
Sassuolo,Milan,1,4,7
Juventus,Napoli,3,1,7
Bologna,Udinese,2,1,7
Fiorentina,Atalanta,2,0,7
