team_h,team_a,gol_h,gol_a,giornata
Verona,Milan,2,1,1
Inter,Genoa,2,0,1
Lazio,Udinese,2,1,1
Napoli,Bologna,3,0,1
Torino,Sassuolo,2,0,1
Sampdoria,Juventus,0,1,1
Cagliari,Atalanta,2,1,1
Livorno,Roma,0,2,1
Parma,Chievo Verona,0,0,1
Fiorentina,Catania,2,1,1
Chievo Verona,Napoli,2,4,2
Roma,Verona,3,0,2
Bologna,Sampdoria,2,2,2
Genoa,Fiorentina,2,5,2
Sassuolo,Livorno,1,4,2
Juventus,Lazio,4,1,2
Atalanta,Torino,2,0,2
Catania,Inter,0,3,2
Milan,Cagliari,3,1,2
Udinese,Parma,3,1,2
Inter,Juventus,1,1,3
Torino,Milan,2,2,3
Verona,Sassuolo,2,0,3
Livorno,Catania,2,0,3
Sampdoria,Genoa,0,3,3
Napoli,Atalanta,2,0,3
Fiorentina,Cagliari,1,1,3
Lazio,Chievo Verona,3,0,3
Udinese,Bologna,1,1,3
Parma,Roma,1,3,3
Cagliari,Sampdoria,2,2,4
Genoa,Livorno,0,0,4
Atalanta,Fiorentina,0,2,4
Catania,Parma,0,0,4
Roma,Lazio,2,0,4
Chievo Verona,Udinese,2,1,4
Sassuolo,Inter,0,7,4
Bologna,Torino,1,2,4
Juventus,Verona,2,1,4
Milan,Napoli,1,2,4
Udinese,Genoa,1,0,5
Chievo Verona,Juventus,1,2,5
Livorno,Cagliari,1,1,5
Parma,Atalanta,4,3,5
Torino,Verona,2,2,5
Bologna,Milan,3,3,5
Lazio,Catania,3,1,5
Napoli,Sassuolo,1,1,5
Sampdoria,Roma,0,2,5
Inter,Fiorentina,2,1,5
Genoa,Napoli,0,2,6
Torino,Juventus,0,1,6
Cagliari,Inter,1,1,6
Verona,Livorno,2,1,6
Roma,Bologna,5,0,6
Milan,Sampdoria,1,0,6
Atalanta,Udinese,2,0,6
Catania,Chievo Verona,2,0,6
Sassuolo,Lazio,2,2,6
Fiorentina,Parma,2,2,6
Chievo Verona,Atalanta,0,1,7
Parma,Sassuolo,3,1,7
Catania,Genoa,1,1,7
Sampdoria,Torino,2,2,7
Juventus,Milan,3,2,7
Inter,Roma,0,3,7
Bologna,Verona,1,4,7
Napoli,Livorno,4,0,7
Udinese,Cagliari,2,0,7
Lazio,Fiorentina,0,0,7
Roma,Napoli,2,0,8
Milan,Udinese,1,0,8
Fiorentina,Juventus,4,2,8
Verona,Parma,3,2,8
Sassuolo,Bologna,2,1,8
Cagliari,Catania,2,1,8
Atalanta,Lazio,2,1,8
Genoa,Chievo Verona,2,1,8
Livorno,Sampdoria,1,2,8
Torino,Inter,3,3,8
Sampdoria,Atalanta,1,0,9
Napoli,Torino,2,0,9
Catania,Sassuolo,0,0,9
Juventus,Genoa,2,0,9
Udinese,Roma,0,1,9
Inter,Verona,4,2,9
Bologna,Livorno,1,0,9
Chievo Verona,Fiorentina,1,2,9
Parma,Milan,3,2,9
Lazio,Cagliari,2,0,9
Atalanta,Inter,1,1,10
Fiorentina,Napoli,1,2,10
Verona,Sampdoria,2,0,10
Livorno,Torino,3,3,10
Sassuolo,Udinese,1,2,10
Cagliari,Bologna,0,3,10
Genoa,Parma,1,0,10
Juventus,Catania,4,0,10
Milan,Lazio,1,1,10
Roma,Chievo Verona,1,0,10
Parma,Juventus,0,1,11
Napoli,Catania,2,1,11
Verona,Cagliari,2,1,11
Sampdoria,Sassuolo,3,4,11
Torino,Roma,1,1,11
Milan,Fiorentina,0,2,11
Livorno,Atalanta,1,0,11
