team_h,team_a,gol_h,gol_a,giornata
AC Siena,Fiorentina,0,0,1
Udinese,Juventus,0,0,1
Bologna,Roma,0,2,1
Lazio,Chievo Verona,0,0,1
Novara,Palermo,2,2,1
Cagliari,Milan,0,2,1
Atalanta,Cesena,4,1,1
Inter,Lecce,4,1,1
Napoli,Genoa,6,1,1
Parma,Catania,3,3,1
Milan,Lazio,2,2,2
Juventus,Parma,4,1,2
Chievo Verona,Novara,2,2,2
Genoa,Atalanta,2,2,2
Roma,Cagliari,1,2,2
Cesena,Napoli,1,3,2
Catania,AC Siena,0,0,2
Fiorentina,Bologna,2,0,2
Lecce,Udinese,0,2,2
Palermo,Inter,4,3,2
Cagliari,Novara,2,1,3
Atalanta,Palermo,1,0,3
Catania,Cesena,1,0,3
Parma,Chievo Verona,2,1,3
Udinese,Fiorentina,2,0,3
Inter,Roma,0,0,3
Bologna,Lecce,0,2,3
Lazio,Genoa,1,2,3
AC Siena,Juventus,0,1,3
Napoli,Milan,3,1,3
Novara,Inter,3,1,4
Chievo Verona,Napoli,1,0,4
Genoa,Catania,3,0,4
Lecce,Atalanta,1,2,4
Palermo,Cagliari,3,2,4
Cesena,Lazio,1,2,4
Fiorentina,Parma,3,0,4
Juventus,Bologna,1,1,4
Milan,Udinese,1,1,4
Roma,AC Siena,1,1,4
Bologna,Inter,1,3,5
Napoli,Fiorentina,0,0,5
Atalanta,Novara,2,1,5
Catania,Juventus,1,1,5
AC Siena,Lecce,3,0,5
Milan,Cesena,1,0,5
Chievo Verona,Genoa,2,1,5
Cagliari,Udinese,0,0,5
Lazio,Palermo,0,0,5
Parma,Roma,0,1,5
Roma,Atalanta,3,1,6
Novara,Catania,3,3,6
Fiorentina,Lazio,1,2,6
Palermo,AC Siena,2,0,6
Udinese,Bologna,2,0,6
Inter,Napoli,0,3,6
Cesena,Chievo Verona,0,0,6
Lecce,Cagliari,0,2,6
Parma,Genoa,3,1,6
Juventus,Milan,2,0,6
Catania,Inter,2,1,7
Napoli,Parma,1,2,7
Atalanta,Udinese,0,0,7
Chievo Verona,Juventus,0,0,7
Novara,Bologna,0,2,7
Milan,Palermo,3,0,7
Cesena,Fiorentina,0,0,7
Cagliari,AC Siena,0,0,7
Genoa,Lecce,0,0,7
Lazio,Roma,2,1,7
Fiorentina,Catania,2,2,8
Lecce,Milan,3,4,8
Inter,Chievo Verona,1,0,8
Roma,Palermo,1,0,8
Udinese,Novara,3,0,8
Juventus,Genoa,2,2,8
Cagliari,Napoli,0,0,8
Parma,Atalanta,1,2,8
AC Siena,Cesena,2,0,8
Bologna,Lazio,0,2,8
Juventus,Fiorentina,2,1,9
Cesena,Cagliari,1,1,9
Genoa,Roma,2,1,9
Milan,Parma,4,1,9
Novara,AC Siena,1,1,9
Atalanta,Inter,1,1,9
Chievo Verona,Bologna,0,1,9
Lazio,Catania,1,1,9
Napoli,Udinese,2,0,9
Palermo,Lecce,2,0,9
Catania,Napoli,2,1,10
Inter,Juventus,1,2,10
Bologna,Atalanta,3,1,10
Lecce,Novara,1,1,10
Udinese,Palermo,1,0,10
Roma,Milan,2,3,10
AC Siena,Chievo Verona,4,1,10
Fiorentina,Genoa,1,0,10
Parma,Cesena,2,0,10
Cagliari,Lazio,0,3,10
Palermo,Bologna,3,1,11
