team_h,team_a,gol_h,gol_a,giornata
Atalanta,Cagliari,1,0,11
Chievo Verona,Fiorentina,1,0,11
Milan,Catania,4,0,11
Napoli,Juventus,3,3,11
Novara,Roma,0,2,11
Cesena,Lecce,0,1,11
Lazio,Parma,1,0,11
Udinese,AC Siena,2,1,11
Genoa,Inter,0,1,11
Inter,Cagliari,2,1,12
Napoli,Lazio,0,0,12
Catania,Chievo Verona,1,2,12
Juventus,Palermo,3,0,12
AC Siena,Atalanta,2,2,12
Fiorentina,Milan,0,0,12
Bologna,Cesena,0,1,12
Genoa,Novara,1,0,12
Parma,Udinese,2,0,12
Roma,Lecce,2,1,12
Udinese,Roma,2,0,13
Novara,Parma,2,1,13
Lazio,Juventus,0,1,13
Cesena,Genoa,2,0,13
AC Siena,Inter,0,1,13
Lecce,Catania,0,1,13
Atalanta,Napoli,1,1,13
Cagliari,Bologna,1,1,13
Palermo,Fiorentina,2,0,13
Milan,Chievo Verona,4,0,13
Genoa,Milan,0,2,14
Napoli,Lecce,4,2,14
Bologna,AC Siena,1,0,14
Fiorentina,Roma,3,0,14
Parma,Palermo,0,0,14
Inter,Udinese,0,1,14
Catania,Cagliari,0,1,14
Chievo Verona,Atalanta,0,0,14
Juventus,Cesena,2,0,14
Lazio,Novara,3,0,14
Lecce,Lazio,2,3,15
Inter,Fiorentina,2,0,15
Atalanta,Catania,1,1,15
Cagliari,Parma,0,0,15
Novara,Napoli,1,1,15
AC Siena,Genoa,0,2,15
Palermo,Cesena,0,1,15
Bologna,Milan,2,2,15
Udinese,Chievo Verona,2,1,15
Roma,Juventus,1,1,15
Chievo Verona,Cagliari,2,0,16
Milan,AC Siena,2,0,16
Cesena,Inter,0,1,16
Juventus,Novara,2,0,16
Lazio,Udinese,2,2,16
Fiorentina,Atalanta,2,2,16
Catania,Palermo,2,0,16
Genoa,Bologna,2,1,16
Parma,Lecce,3,3,16
Napoli,Roma,1,3,16
AC Siena,Lazio,4,0,17
Udinese,Cesena,4,1,17
Bologna,Catania,2,0,17
Lecce,Juventus,0,1,17
Roma,Chievo Verona,2,0,17
Inter,Parma,5,0,17
Atalanta,Milan,0,2,17
Cagliari,Genoa,3,0,17
Novara,Fiorentina,0,3,17
Palermo,Napoli,1,3,17
Lazio,Atalanta,2,0,18
Chievo Verona,Palermo,1,0,18
Genoa,Udinese,3,2,18
Parma,AC Siena,3,1,18
Napoli,Bologna,1,1,18
Cesena,Novara,3,1,18
Fiorentina,Lecce,0,1,18
Juventus,Cagliari,1,1,18
Milan,Inter,0,1,18
Catania,Roma,1,1,18
Roma,Cesena,5,1,19
Bologna,Parma,0,0,19
Novara,Milan,0,3,19
AC Siena,Napoli,1,1,19
Cagliari,Fiorentina,0,0,19
Atalanta,Juventus,0,2,19
Lecce,Chievo Verona,2,2,19
Palermo,Genoa,5,3,19
Udinese,Catania,2,1,19
Inter,Lazio,2,1,19
Catania,Parma,1,1,20
Fiorentina,AC Siena,2,1,20
Roma,Bologna,1,1,20
Chievo Verona,Lazio,0,3,20
Palermo,Novara,2,0,20
Juventus,Udinese,2,1,20
Cesena,Atalanta,0,1,20
Lecce,Inter,1,0,20
Genoa,Napoli,3,2,20
Milan,Cagliari,3,0,20
Napoli,Cesena,0,0,21
Lazio,Milan,2,0,21
Cagliari,Roma,4,2,21
Atalanta,Genoa,1,0,21
Bologna,Fiorentina,2,0,21
Udinese,Lecce,2,1,21
Inter,Palermo,4,4,21
Novara,Chievo Verona,1,2,21
Parma,Juventus,0,0,21
AC Siena,Catania,0,1,21
Genoa,Lazio,3,2,22
Lecce,Bologna,0,0,22
Roma,Inter,4,0,22
Chievo Verona,Parma,1,2,22
Fiorentina,Udinese,3,2,22
Palermo,Atalanta,2,1,22
Novara,Cagliari,0,0,22
Milan,Napoli,0,0,22
Juventus,AC Siena,0,0,22
Cesena,Catania,0,0,22
Lazio,Cesena,3,2,23
Cagliari,Palermo,2,1,23
Atalanta,Lecce,0,0,23
Napoli,Chievo Verona,2,0,23
Parma,Fiorentina,2,2,23
Udinese,Milan,1,2,23
Catania,Genoa,4,0,23
Inter,Novara,0,1,23
AC Siena,Roma,1,0,23
Bologna,Juventus,1,1,23
Inter,Bologna,0,3,24
Juventus,Catania,3,1,24
Novara,Atalanta,0,0,24
Cesena,Milan,1,3,24
Udinese,Cagliari,0,0,24
Fiorentina,Napoli,0,3,24
Lecce,AC Siena,4,1,24
Genoa,Chievo Verona,0,1,24
Roma,Parma,1,0,24
Palermo,Lazio,5,1,24
Genoa,Parma,2,2,25
Chievo Verona,Cesena,1,0,25
Catania,Novara,3,1,25
Atalanta,Roma,4,1,25
Napoli,Inter,1,0,25
Milan,Juventus,1,1,25
Cagliari,Lecce,1,2,25
AC Siena,Palermo,4,1,25
Lazio,Fiorentina,1,0,25
Bologna,Udinese,1,3,25
Palermo,Milan,0,4,26
Parma,Napoli,1,2,26
AC Siena,Cagliari,3,0,26
Lecce,Genoa,2,2,26
Bologna,Novara,1,0,26
Juventus,Chievo Verona,1,1,26
Udinese,Atalanta,0,0,26
Fiorentina,Cesena,2,0,26
Roma,Lazio,1,2,26
Inter,Catania,2,2,26
Napoli,Cagliari,6,3,27
Palermo,Roma,0,1,27
Genoa,Juventus,0,0,27
Atalanta,Parma,1,1,27
Lazio,Bologna,1,3,27
Chievo Verona,Inter,0,2,27
Catania,Fiorentina,1,0,27
Milan,Lecce,2,0,27
Cesena,AC Siena,0,2,27
Novara,Udinese,1,0,27
Parma,Milan,0,2,28
Cagliari,Cesena,3,0,28
Bologna,Chievo Verona,2,2,28
AC Siena,Novara,0,2,28
Udinese,Napoli,2,2,28
Fiorentina,Juventus,0,5,28
Inter,Atalanta,0,0,28
Catania,Lazio,1,0,28
Lecce,Palermo,1,1,28
Roma,Genoa,1,0,28
Milan,Roma,2,1,29
Atalanta,Bologna,2,0,29
Napoli,Catania,2,2,29
Novara,Lecce,0,0,29
Chievo Verona,AC Siena,1,1,29
Palermo,Udinese,1,1,29
Lazio,Cagliari,1,0,29
Genoa,Fiorentina,2,2,29
Cesena,Parma,2,2,29
Juventus,Inter,2,0,29
Catania,Milan,1,1,30
Roma,Novara,5,2,30
Lecce,Cesena,0,0,30
Inter,Genoa,5,4,30
AC Siena,Udinese,1,0,30
Parma,Lazio,3,1,30
Cagliari,Atalanta,2,0,30
Fiorentina,Chievo Verona,1,2,30
Bologna,Palermo,1,3,30
Juventus,Napoli,3,0,30
Cesena,Bologna,0,0,31
Milan,Fiorentina,1,2,31
Cagliari,Inter,2,2,31
Lecce,Roma,4,2,31
Palermo,Juventus,0,2,31
Chievo Verona,Catania,3,2,31
Novara,Genoa,1,1,31
Udinese,Parma,3,1,31
Atalanta,AC Siena,1,2,31
Lazio,Napoli,3,1,31
Chievo Verona,Milan,0,1,32
Genoa,Cesena,1,1,32
Catania,Lecce,1,2,32
Fiorentina,Palermo,0,0,32
Roma,Udinese,3,1,32
Napoli,Atalanta,1,3,32
Juventus,Lazio,2,1,32
Parma,Novara,2,0,32
Inter,AC Siena,2,1,32
Bologna,Cagliari,1,0,32
Cagliari,Catania,3,0,33
Novara,Lazio,2,1,33
Roma,Fiorentina,1,2,33
Lecce,Napoli,0,2,33
Milan,Genoa,1,0,33
Atalanta,Chievo Verona,1,0,33
AC Siena,Bologna,1,1,33
Udinese,Inter,1,3,33
Palermo,Parma,1,2,33
Cesena,Juventus,0,1,33
Parma,Cagliari,3,0,34
Catania,Atalanta,2,0,34
Fiorentina,Inter,0,0,34
Lazio,Lecce,1,1,34
Genoa,AC Siena,1,4,34
Chievo Verona,Udinese,0,0,34
Napoli,Novara,2,0,34
Milan,Bologna,1,1,34
Cesena,Palermo,2,2,34
Juventus,Roma,4,0,34
Palermo,Catania,1,1,35
Roma,Napoli,2,2,35
Inter,Cesena,2,1,35
Novara,Juventus,0,4,35
Lecce,Parma,1,2,35
Cagliari,Chievo Verona,0,0,35
Bologna,Genoa,3,2,35
Atalanta,Fiorentina,2,0,35
AC Siena,Milan,1,4,35
Udinese,Lazio,2,0,35
Chievo Verona,Roma,0,0,36
Milan,Atalanta,2,0,36
Genoa,Cagliari,2,1,36
Juventus,Lecce,1,1,36
Lazio,AC Siena,1,1,36
Napoli,Palermo,2,0,36
Catania,Bologna,0,1,36
Parma,Inter,3,1,36
Fiorentina,Novara,2,2,36
Cesena,Udinese,0,1,36
Lecce,Fiorentina,0,1,37
AC Siena,Parma,0,2,37
Palermo,Chievo Verona,4,4,37
Atalanta,Lazio,0,2,37
Cagliari,Juventus,0,2,37
Roma,Catania,2,2,37
Novara,Cesena,3,0,37
Udinese,Genoa,2,0,37
Bologna,Napoli,2,0,37
Inter,Milan,4,2,37
Juventus,Atalanta,3,1,38
Milan,Novara,2,1,38
Cesena,Roma,2,3,38
Chievo Verona,Lecce,1,0,38
Napoli,AC Siena,2,1,38
Fiorentina,Cagliari,0,0,38
Parma,Bologna,1,0,38
Lazio,Inter,3,1,38
Genoa,Palermo,2,0,38
Catania,Udinese,0,2,38
