team_h,team_a,gol_h,gol_a,giornata
Atalanta,Inter,1,1,20
Napoli,Sassuolo,3,1,20
Chievo Verona,Empoli ,1,1,20
Udinese,Juventus,0,4,20
Carpi,Sampdoria,2,1,20
Torino,Frosinone,4,2,20
Genoa,Palermo,4,0,20
Roma,Verona,1,1,20
Bologna,Lazio,2,2,20
Milan,Fiorentina,2,0,20
Frosinone,Atalanta,0,0,21
Fiorentina,Torino,2,0,21
Inter,Carpi,1,1,21
Verona,Genoa,1,1,21
Palermo,Udinese,4,1,21
Empoli ,Milan,2,2,21
Sassuolo,Bologna,0,2,21
Lazio,Chievo Verona,4,1,21
Sampdoria,Napoli,2,4,21
Juventus,Roma,1,0,21
Carpi,Palermo,1,1,22
Roma,Frosinone,3,1,22
Napoli,Empoli ,5,1,22
Torino,Verona,0,0,22
Bologna,Sampdoria,3,2,22
Atalanta,Sassuolo,1,1,22
Chievo Verona,Juventus,0,4,22
Genoa,Fiorentina,0,0,22
Udinese,Lazio,0,0,22
Milan,Inter,3,0,22
Sassuolo,Roma,0,2,23
Verona,Atalanta,2,1,23
Inter,Chievo Verona,1,0,23
Palermo,Milan,0,2,23
Sampdoria,Torino,2,2,23
Frosinone,Bologna,1,0,23
Fiorentina,Carpi,2,1,23
Juventus,Genoa,1,0,23
Lazio,Napoli,0,2,23
Empoli ,Udinese,1,1,23
Bologna,Fiorentina,1,1,24
Verona,Inter,3,3,24
Torino,Chievo Verona,1,2,24
Sassuolo,Palermo,2,2,24
Atalanta,Empoli ,0,0,24
Genoa,Lazio,0,0,24
Napoli,Carpi,1,0,24
Frosinone,Juventus,0,2,24
Milan,Udinese,1,1,24
Roma,Sampdoria,2,1,24
Lazio,Verona,5,2,25
Empoli ,Frosinone,1,2,25
Juventus,Napoli,1,0,25
Sampdoria,Atalanta,0,0,25
Palermo,Torino,1,3,25
Carpi,Roma,1,3,25
Chievo Verona,Sassuolo,1,1,25
Milan,Genoa,2,1,25
Udinese,Bologna,0,1,25
Fiorentina,Inter,2,1,25
Bologna,Juventus,0,0,26
Inter,Sampdoria,3,1,26
Sassuolo,Empoli ,3,2,26
Genoa,Udinese,2,1,26
Roma,Palermo,5,0,26
Verona,Chievo Verona,3,1,26
Torino,Carpi,0,0,26
Atalanta,Fiorentina,2,3,26
Frosinone,Lazio,0,0,26
Napoli,Milan,1,1,26
Empoli ,Roma,1,3,27
Palermo,Bologna,0,0,27
Sampdoria,Frosinone,2,0,27
Udinese,Verona,2,0,27
Lazio,Sassuolo,0,2,27
Milan,Torino,1,0,27
Carpi,Atalanta,1,1,27
Chievo Verona,Genoa,1,0,27
Juventus,Inter,2,0,27
Fiorentina,Napoli,1,1,27
Roma,Fiorentina,4,1,28
Napoli,Chievo Verona,3,1,28
Bologna,Carpi,0,0,28
Atalanta,Juventus,0,2,28
Frosinone,Udinese,2,0,28
Verona,Sampdoria,0,3,28
Torino,Lazio,1,1,28
Genoa,Empoli ,1,0,28
Sassuolo,Milan,2,0,28
Inter,Palermo,3,1,28
Juventus,Sassuolo,1,0,29
Inter,Bologna,2,1,29
Carpi,Frosinone,2,1,29
Udinese,Roma,1,2,29
Lazio,Atalanta,2,0,29
Empoli ,Sampdoria,1,1,29
Chievo Verona,Milan,0,0,29
Fiorentina,Verona,1,1,29
Genoa,Torino,3,2,29
Palermo,Napoli,0,1,29
Empoli ,Palermo,0,0,30
Atalanta,Bologna,2,0,30
Sassuolo,Udinese,1,1,30
Sampdoria,Chievo Verona,0,1,30
Napoli,Genoa,3,1,30
Roma,Inter,1,1,30
Torino,Juventus,1,4,30
Verona,Carpi,1,2,30
Frosinone,Fiorentina,0,0,30
Milan,Lazio,1,1,30
Carpi,Sassuolo,1,3,31
Udinese,Napoli,3,1,31
Atalanta,Milan,2,1,31
Lazio,Roma,1,4,31
Inter,Torino,1,2,31
Juventus,Empoli ,1,0,31
Genoa,Frosinone,4,0,31
Chievo Verona,Palermo,3,1,31
Fiorentina,Sampdoria,1,1,31
Bologna,Verona,0,1,31
Frosinone,Inter,0,1,32
Sassuolo,Genoa,0,1,32
Empoli ,Fiorentina,2,0,32
Napoli,Verona,3,0,32
Palermo,Lazio,0,3,32
Chievo Verona,Carpi,1,0,32
Milan,Juventus,1,2,32
Torino,Atalanta,2,1,32
Sampdoria,Udinese,2,0,32
Roma,Bologna,1,1,32
Bologna,Torino,0,1,33
Inter,Napoli,2,0,33
Udinese,Chievo Verona,0,0,33
Juventus,Palermo,4,0,33
Lazio,Empoli ,2,0,33
Carpi,Genoa,4,1,33
Atalanta,Roma,3,3,33
Verona,Frosinone,1,2,33
Fiorentina,Sassuolo,3,1,33
Sampdoria,Milan,0,1,33
Napoli,Bologna,6,0,34
Palermo,Atalanta,2,2,34
Chievo Verona,Frosinone,5,1,34
Genoa,Inter,1,0,34
Roma,Torino,3,2,34
Sassuolo,Sampdoria,0,0,34
Udinese,Fiorentina,2,1,34
Empoli ,Verona,1,0,34
Juventus,Lazio,3,0,34
Milan,Carpi,0,0,34
Inter,Udinese,3,1,35
Atalanta,Chievo Verona,1,0,35
Sampdoria,Lazio,2,1,35
Fiorentina,Juventus,1,2,35
Verona,Milan,2,1,35
Frosinone,Palermo,0,2,35
Bologna,Genoa,2,0,35
Torino,Sassuolo,1,3,35
Roma,Napoli,1,0,35
Carpi,Empoli ,1,0,35
Udinese,Torino,1,5,36
Juventus,Carpi,2,0,36
Milan,Frosinone,3,3,36
Palermo,Sampdoria,2,0,36
Genoa,Roma,2,3,36
Chievo Verona,Fiorentina,0,0,36
Empoli ,Bologna,0,0,36
Sassuolo,Verona,1,0,36
Lazio,Inter,2,0,36
Napoli,Atalanta,2,1,36
Inter,Empoli ,2,1,37
